Match ID,Season ID,Season,Match Date,City,Venue,Venue (Original),Team 1,Team 2,Toss Winner,Toss Decision,Match Winner,Win By Runs,Win By Wickets,Result,POTM Player ID,Player of the Match
335982,2008,2008,2008-04-18,Bangalore,M Chinnaswamy Stadium,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,140.0,,win,46.0,BB McCullum
1082591,2017,2017,2017-04-05,Hyderabad,Rajiv Gandhi International Stadium,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,35.0,,win,15.0,Yuvraj Singh
1082592,2017,2017,2017-04-06,Pune,Maharashtra Cricket Association Stadium,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,,7.0,win,36.0,SPD Smith
1082593,2017,2017,2017-04-07,Rajkot,Saurashtra Cricket Association Stadium,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,10.0,win,57.0,CA Lynn
1082594,2017,2017,2017-04-08,Indore,Holkar Cricket Stadium,Holkar Cricket Stadium,Punjab Kings,Rising Pune Supergiant,Punjab Kings,field,Punjab Kings,,6.0,win,71.0,GJ Maxwell
1082595,2017,2017,2017-04-08,Bengaluru,M Chinnaswamy Stadium,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,15.0,,win,4.0,KM Jadhav
1082596,2017,2017,2017-04-09,Hyderabad,Rajiv Gandhi International Stadium,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,9.0,win,22.0,Rashid Khan
1082597,2017,2017,2017-04-09,Mumbai,Wankhede Stadium,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,,4.0,win,26.0,N Rana
1082598,2017,2017,2017-04-10,Indore,Holkar Cricket Stadium,Holkar Cricket Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Punjab Kings,,8.0,win,70.0,AR Patel
1082599,2017,2017,2017-04-11,Pune,Maharashtra Cricket Association Stadium,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,field,Delhi Capitals,97.0,,win,180.0,SV Samson
